"","marker","patient_id","group","Expression","signif","marker_title"
"174","CD41","RPs150B","RP",1.87686236296285,"***","CD41 ***"
"175","CD41","RPs154B","MP",1.45254514323554,"***","CD41 ***"
"176","CD41","RPs154B","RP",2.27676389289117,"***","CD41 ***"
"177","CD42a","RPs137B","MP",3.63758753671235,"***","CD42a ***"
"178","CD42a","RPs137B","RP",4.24518461245701,"***","CD42a ***"
"179","CD42a","RPs138B","MP",3.72451859640163,"***","CD42a ***"
"180","CD42a","RPs138B","RP",4.45088788049974,"***","CD42a ***"
"181","CD42a","RPs139B","MP",3.72434942179585,"***","CD42a ***"
"182","CD42a","RPs139B","RP",4.44127052806627,"***","CD42a ***"
"183","CD42a","RPs144B","MP",3.9278444330215,"***","CD42a ***"
"184","CD42a","RPs144B","RP",4.64445253532631,"***","CD42a ***"
"185","CD42a","RPs097B","MP",2.90647927843435,"***","CD42a ***"
"186","CD42a","RPs097B","RP",3.47903515475435,"***","CD42a ***"
"187","CD42a","RPs098B","MP",3.41276816252804,"***","CD42a ***"
"188","CD42a","RPs098B","RP",4.18358477100948,"***","CD42a ***"
"189","CD42a","RPs103B","MP",3.58486538053859,"***","CD42a ***"
"190","CD42a","RPs103B","RP",4.10443299391215,"***","CD42a ***"
"191","CD42a","RPS111B","MP",3.05005890755116,"***","CD42a ***"
"192","CD42a","RPS111B","RP",3.71735829867411,"***","CD42a ***"
"193","CD42a","RPS136B","MP",3.92936270242111,"***","CD42a ***"
"194","CD42a","RPS136B","RP",4.65335651993034,"***","CD42a ***"
"195","CD42a","RPs150B","MP",4.00828383612946,"***","CD42a ***"
"196","CD42a","RPs150B","RP",4.68448878078632,"***","CD42a ***"
"197","CD42a","RPs154B","MP",4.08366060583682,"***","CD42a ***"
"198","CD42a","RPs154B","RP",4.75726533490131,"***","CD42a ***"
"199","CD42b","RPs137B","MP",2.72970408561295,"***","CD42b ***"
"200","CD42b","RPs137B","RP",3.33409858683499,"***","CD42b ***"
"201","CD42b","RPs138B","MP",3.0083978941681,"***","CD42b ***"
"202","CD42b","RPs138B","RP",3.70782892491032,"***","CD42b ***"
"203","CD42b","RPs139B","MP",2.68264909730174,"***","CD42b ***"
"204","CD42b","RPs139B","RP",3.38718762944252,"***","CD42b ***"
"205","CD42b","RPs144B","MP",3.10759994745448,"***","CD42b ***"
"206","CD42b","RPs144B","RP",3.80014020281838,"***","CD42b ***"
"207","CD42b","RPs097B","MP",2.4299046001692,"***","CD42b ***"
"208","CD42b","RPs097B","RP",3.00910638752009,"***","CD42b ***"
"209","CD42b","RPs098B","MP",3.2289862059624,"***","CD42b ***"
"210","CD42b","RPs098B","RP",3.96002745071834,"***","CD42b ***"
"211","CD42b","RPs103B","MP",2.85565380226583,"***","CD42b ***"
"212","CD42b","RPs103B","RP",3.38282397266379,"***","CD42b ***"
"213","CD42b","RPS111B","MP",2.41653172336765,"***","CD42b ***"
"214","CD42b","RPS111B","RP",3.09412313170846,"***","CD42b ***"
"215","CD42b","RPS136B","MP",3.12049979106637,"***","CD42b ***"
"216","CD42b","RPS136B","RP",3.78321499187061,"***","CD42b ***"
"217","CD42b","RPs150B","MP",2.85432481478941,"***","CD42b ***"
"218","CD42b","RPs150B","RP",3.51257807553691,"***","CD42b ***"
"219","CD42b","RPs154B","MP",2.71137915349317,"***","CD42b ***"
"220","CD42b","RPs154B","RP",3.36787499816071,"***","CD42b ***"
"221","CD45","RPs137B","MP",0.212371577239465,"***","CD45 ***"
"222","CD45","RPs137B","RP",0.549038833606656,"***","CD45 ***"
"223","CD45","RPs138B","MP",0.267941279761599,"***","CD45 ***"
"224","CD45","RPs138B","RP",0.725277743890647,"***","CD45 ***"
"225","CD45","RPs139B","MP",0.265833223591338,"***","CD45 ***"
"226","CD45","RPs139B","RP",0.700740530153181,"***","CD45 ***"
"227","CD45","RPs144B","MP",0.365551000008214,"***","CD45 ***"
"228","CD45","RPs144B","RP",0.824286702324699,"***","CD45 ***"
"229","CD45","RPs097B","MP",0.522856183726409,"***","CD45 ***"
